Fold,Optimal Threshold
Fold_0,0.108
Fold_1,0.108
Fold_2,0.132
Fold_3,0.124
Fold_4,0.128
Fold_5,0.10400000000000001
Fold_6,0.106
Fold_7,0.10400000000000001
Fold_8,0.116
Fold_9,0.10400000000000001
Fold_10,0.124
Fold_11,0.152
Fold_12,0.128
Fold_13,0.116
Fold_14,0.114
Fold_15,0.114
Fold_16,0.13
Fold_17,0.128
Fold_18,0.114
Fold_19,0.152
