Fold,Optimal Threshold
Fold_0,0.08600000000000001
Fold_1,0.062
Fold_2,0.10200000000000001
Fold_3,0.094
Fold_4,0.09
Fold_5,0.062
Fold_6,0.06
Fold_7,0.094
Fold_8,0.058
Fold_9,0.10200000000000001
Fold_10,0.062
Fold_11,0.094
Fold_12,0.08600000000000001
Fold_13,0.076
Fold_14,0.058
Fold_15,0.084
Fold_16,0.062
Fold_17,0.078
Fold_18,0.06
Fold_19,0.10200000000000001
