Fold,Optimal Threshold
Fold_0,0.002
Fold_1,0.002
Fold_2,0.002
Fold_3,0.002
Fold_4,0.002
Fold_5,0.002
Fold_6,0.002
Fold_7,0.002
Fold_8,0.002
Fold_9,0.002
Fold_10,0.012
Fold_11,0.002
Fold_12,0.012
Fold_13,0.002
Fold_14,0.002
Fold_15,0.002
Fold_16,0.012
Fold_17,0.002
Fold_18,0.002
Fold_19,0.002
