Fold,Optimal Threshold
Fold_0,0.03
Fold_1,0.03
Fold_2,0.036000000000000004
Fold_3,0.03
Fold_4,0.03
Fold_5,0.028
Fold_6,0.032
Fold_7,0.034
Fold_8,0.022
Fold_9,0.032
Fold_10,0.028
Fold_11,0.03
Fold_12,0.036000000000000004
Fold_13,0.022
Fold_14,0.04
Fold_15,0.032
Fold_16,0.03
Fold_17,0.03
Fold_18,0.026000000000000002
Fold_19,0.034
