Fold,Optimal Threshold
Fold_0,0.014
Fold_1,0.004
Fold_2,0.008
Fold_3,0.012
Fold_4,0.01
Fold_5,0.014
Fold_6,0.006
Fold_7,0.022
Fold_8,0.006
Fold_9,0.012
Fold_10,0.014
Fold_11,0.01
Fold_12,0.014
Fold_13,0.014
Fold_14,0.008
Fold_15,0.014
Fold_16,0.014
Fold_17,0.012
Fold_18,0.014
Fold_19,0.008
