Fold,Optimal Threshold
Fold_0,0.012
Fold_1,0.014
Fold_2,0.014
Fold_3,0.02
Fold_4,0.012
Fold_5,0.014
Fold_6,0.014
Fold_7,0.012
Fold_8,0.014
Fold_9,0.012
Fold_10,0.014
Fold_11,0.016
Fold_12,0.012
Fold_13,0.02
Fold_14,0.012
Fold_15,0.014
Fold_16,0.012
Fold_17,0.02
Fold_18,0.016
Fold_19,0.012
