Fold,Optimal Threshold
Fold_0,0.058
Fold_1,0.066
Fold_2,0.046
Fold_3,0.058
Fold_4,0.058
Fold_5,0.064
Fold_6,0.07
Fold_7,0.058
Fold_8,0.08
Fold_9,0.068
Fold_10,0.046
Fold_11,0.068
Fold_12,0.052000000000000005
Fold_13,0.054
Fold_14,0.058
Fold_15,0.064
Fold_16,0.08
Fold_17,0.042
Fold_18,0.064
Fold_19,0.064
