Fold,Optimal Threshold
Fold_0,0.016
Fold_1,0.018000000000000002
Fold_2,0.016
Fold_3,0.016
Fold_4,0.01
Fold_5,0.018000000000000002
Fold_6,0.014
Fold_7,0.018000000000000002
Fold_8,0.018000000000000002
Fold_9,0.01
Fold_10,0.01
Fold_11,0.008
Fold_12,0.022
Fold_13,0.014
Fold_14,0.01
Fold_15,0.016
Fold_16,0.012
Fold_17,0.016
Fold_18,0.016
Fold_19,0.016
