Fold,Optimal Threshold
Fold_0,0.01
Fold_1,0.008
Fold_2,0.006
Fold_3,0.008
Fold_4,0.008
Fold_5,0.008
Fold_6,0.008
Fold_7,0.006
Fold_8,0.008
Fold_9,0.01
Fold_10,0.008
Fold_11,0.012
Fold_12,0.008
Fold_13,0.008
Fold_14,0.006
Fold_15,0.006
Fold_16,0.008
Fold_17,0.006
Fold_18,0.006
Fold_19,0.01
