Fold,Optimal Threshold
Fold_0,0.074
Fold_1,0.056
Fold_2,0.074
Fold_3,0.08
Fold_4,0.042
Fold_5,0.066
Fold_6,0.05
Fold_7,0.074
Fold_8,0.066
Fold_9,0.078
Fold_10,0.074
Fold_11,0.05
Fold_12,0.052000000000000005
Fold_13,0.074
Fold_14,0.052000000000000005
Fold_15,0.052000000000000005
Fold_16,0.074
Fold_17,0.064
Fold_18,0.042
Fold_19,0.05
