Fold,Optimal Threshold
Fold_0,0.008
Fold_1,0.006
Fold_2,0.006
Fold_3,0.01
Fold_4,0.01
Fold_5,0.008
Fold_6,0.004
Fold_7,0.006
Fold_8,0.008
Fold_9,0.008
Fold_10,0.01
Fold_11,0.006
Fold_12,0.01
Fold_13,0.006
Fold_14,0.01
Fold_15,0.01
Fold_16,0.008
Fold_17,0.008
Fold_18,0.006
Fold_19,0.006
